TemplateID,RoleName,Year,StepNumber,StepTitle,Instructions,TargetDate
KM-2026-6814,KM,2026,1,จัดทำสื่อองค์ความรู้,เป็นคลิปวีดีโอ ส่งทาง KM-Si,2026-04-03
KM-2026-3009,KM,2026,1,ถ่ายทอดองค์ความรู้,ถ่ายทอดองค์ความรู้ด้วยวิธ๊การต่างๆตามสะดวก,2026-03-28
TASK-2026-43285,งานการจัดการความรู้ (KM),2026,1,ตรวจผลงาน,,2026-04-01
TASK-2026-43285,งานการจัดการความรู้ (KM),2026,2,ส่งกลับมาด้วย อัพโหลดด้วย,,
TASK-2026-98097,งานการจัดการความรู้ (KM),2026,1,,,
TASK-2026-26648,งานการจัดการความรู้ (KM),2026,1,"เข้าร่วมอบรม ""การจัดทำ Knowledge Landscape และ ถอดองค์ความรู้ประจำปี""",วันที่ 10-11 ก.พ. โรงแรมศรีอู่ทอง,2026-02-10
TASK-2026-26648,งานการจัดการความรู้ (KM),2026,2,จัดทำ Knowledge Landscape ของหน่วยงาน,ดำเนินการได้ที่ htttps:\\ABD.com,2026-04-01
TASK-2026-26648,งานการจัดการความรู้ (KM),2026,3,ถอดองค์ความรู้ผู้เชี่ยวชาญหรือผู้เกษียณให้เรียบร้อย และทำหนังสือเห็นชอบโดยต้นสังกัดส่งให้แก่ ผพค.,สามารถดาวน์โหลดแบบฟอร์ม หนังสือรายงานได้ที่ htttps:\\ABD.com,2026-05-01
TASK-2026-26648,งานการจัดการความรู้ (KM),2026,4,อัพโหลดองค์ความรู้เข้าสู่ระบบฐานความรู้องค์กร KM-SI,ส่งไฟล์ที่ KM-SI,2026-06-01
TASK-2026-26648,งานการจัดการความรู้ (KM),2026,5,เข้าร่วมนำผลงานมานำเสนอแลกเปลี่ยนเรียนรู้ในกิจกรรม KM DAY และทำหนังสือรายงานการทดลองใช้องค์ความรู้ในหน่วยงาน,สามารถดาวน์โหลดแบบฟอร์ม หนังสือรายงานได้ที่ htttps:\\ABD.com,2026-07-01
